k,accuracy
10,0.9099999999999999
20,0.93
30,0.96
40,0.9800000000000001
50,0.9800000000000001
60,1.0
70,1.0
80,1.0
90,0.9800000000000001
100,0.9800000000000001
110,0.9800000000000001
120,0.9800000000000001
130,0.96
140,0.96
150,0.96
160,0.96
170,0.96
180,0.96
190,0.96
200,0.96
210,0.96
220,0.96
230,0.96
240,0.96
250,0.96
260,0.96
270,0.96
280,0.9399999999999998
290,0.96
300,0.96
310,0.96
320,0.9399999999999998
330,0.9399999999999998
340,0.9399999999999998
350,0.9399999999999998
360,0.9399999999999998
370,0.9399999999999998
380,0.9399999999999998
390,0.96
400,0.9399999999999998
410,0.9399999999999998
420,0.9399999999999998
430,0.9399999999999998
440,0.9399999999999998
450,0.9399999999999998
460,0.9399999999999998
470,0.9399999999999998
480,0.9399999999999998
490,0.9399999999999998
500,0.9399999999999998
510,0.9399999999999998
520,0.9399999999999998
530,0.9399999999999998
540,0.9399999999999998
550,0.9399999999999998
560,0.9399999999999998
570,0.9399999999999998
580,0.96
590,0.96
600,0.96
610,0.96
620,0.96
630,0.96
640,0.96
650,0.96
660,0.96
670,0.96
680,0.96
690,0.96
700,0.96
710,0.96
720,0.96
730,0.96
740,0.96
750,0.96
760,0.96
770,0.96
780,0.96
790,0.96
800,0.96
810,0.96
820,0.96
830,0.96
840,0.96
850,0.96
860,0.96
870,0.96
880,0.96
890,0.96
900,0.96
910,0.96
920,0.96
930,0.96
940,0.96
950,0.96
960,0.96
970,0.96
980,0.96
990,0.96
